point_id,x,y,z,r,g,b,n_obs,mean_reproj_error
2678,0.011424266294959864,0.040595888247304826,0.003696129168574145,136,128,119,2,0.23498819860850928
2679,0.02517163176945152,0.08616684588122335,0.0007895176519066835,45,43,41,5,0.45396451523690295
2680,-0.024235746033895236,0.023438156581629007,-0.01201170100706098,24,18,19,2,0.00436137434623688
2681,0.04244454206018891,0.025150462038959997,-0.003431880723973043,77,75,71,3,0.22668553835959374
2682,0.011196766619607862,0.07845609793238664,0.0031658193251909343,158,157,144,4,0.25909777482153
2683,0.028798840689253525,0.029450570483391288,0.04103113229738556,41,40,36,4,0.4200860538265332
2684,0.00583294950973804,0.06190709871529558,0.011852344009159554,193,190,178,3,0.14327550541497117
2685,0.046177491642377326,0.06581072029070108,0.04147191512163031,97,105,98,2,0.4304728378829354
2686,0.009202941676735275,0.03127354554091261,0.04524460545387043,111,108,94,2,0.653311877840602
2687,0.020032508324240646,0.0521239462021059,0.0249192983457084,157,149,140,5,0.7439905546623262
2688,0.036982810539237354,0.03572846516101613,0.010618484320251904,182,178,161,3,0.41785262608730617
2689,0.01796588413308544,0.09411643163261295,-0.0014693141539180211,117,115,100,2,0.6789550013567776
2690,-0.0012342250644085662,0.06876922036661041,-0.008632538372818282,137,135,119,6,0.839270293989247
2691,-0.004490155594544503,0.03010654051602195,0.00839845863776368,132,128,112,2,0.03914081962514364
2692,0.022580026010470385,0.06103638026014096,0.031193409119193202,165,158,148,2,0.73055711786653
2693,-0.008372888177446164,0.06467969613615099,-0.012611189707671512,121,112,109,2,0.0001428764452287038
2694,0.04454306268375125,0.08695347138126192,0.022697243381318677,202,206,192,4,0.756511201865562
2695,0.00772088190259743,0.029678903754685626,0.037622717364644905,140,134,120,4,0.3154387626990252
2696,0.039901510275787186,0.061713214794665225,0.036460164175092694,154,142,135,2,0.2251181305160649
2697,0.006263971349708793,0.08330655569595923,-0.008283782858490438,140,137,117,4,0.6164167224372179
2698,0.010278611500452728,0.09282945674718059,-0.011232027479742814,1,0,0,3,1.0614610380677416
2699,0.04663709627013538,0.07959051555771639,0.03018187034993578,229,218,206,2,0.07128649136737517
2700,0.020129704607229085,0.09964075148672659,-0.004008435504089215,106,100,82,2,0.7646146534431564
2701,0.024674052140339957,0.08704895557080572,0.010094792149611688,142,136,125,5,0.6514324737742982
2702,-0.004529153577412457,0.0670095345715273,-0.01426413877244094,8,5,5,2,0.8673466913993589
2703,0.013277775804500833,0.060253929311230255,0.01603910645675768,116,112,102,2,0.028439023689884622
2704,0.016036396943646208,0.03306708067463109,0.03147968703758404,210,200,188,2,0.12371048208009601
2705,0.044495594416655855,0.05811363516739984,0.047332381319004586,6,2,0,3,1.3529088631028203
2706,0.04293225972211069,0.07118074805507857,0.027220430373386995,35,33,30,3,0.4158475712449364
2707,0.026696127859312305,0.08845455340520059,0.01182557235318249,139,133,127,2,0.05171809739855089
2708,0.026203555881413612,0.0353480087255947,-0.0021875703920110788,124,121,110,2,0.6838298654924317
2709,0.02373686730204794,0.09424514602324927,0.007555921377157249,165,163,150,7,0.2624708938959225
2710,0.02711520628586074,0.05226697134890083,-0.0034112901445241548,69,68,62,2,0.7700449970845424
2711,0.044203772747429544,0.09452512135745628,0.02062332664510566,85,96,79,2,0.027837991693841515
2712,0.03384485448715693,0.08515549957172111,0.009955897819911257,89,89,75,2,0.17135657704681942
2713,0.009592156224123705,0.05159401462409949,0.010781646703831351,137,133,121,4,0.5089640219727498
2714,0.04339742276695266,0.023744192516727776,-0.0015805059487547168,82,78,71,3,0.7871117659251959
2715,-0.015695908077879052,0.03826980034525709,-0.002544108687231269,134,126,120,2,0.1848924541304166
2716,-0.011892817814697894,0.063729276079995,-0.012847252750924448,101,96,91,3,0.1718563067480182
2717,0.03538607779348968,0.03443170699025965,0.03297996794909159,82,79,63,2,0.22623232373575103
2718,0.045976634941656366,0.06224592174029243,0.03900539966422608,168,168,155,2,0.09687967593289724
2719,0.021863914002409824,0.039445539026874685,0.026635062132750582,129,119,111,4,0.27709201729625604
2720,0.037957706907164886,0.02339949472282117,-0.007848281371769756,91,82,67,2,0.34498508896581964
2721,-0.011638093933861003,0.05704691559699567,-0.007843196143373551,226,221,202,2,0.2114830013367211
2722,0.037166372827130416,0.03268496671642539,0.014361599652339792,192,180,172,3,1.076282524446912
2723,0.02638615544874852,0.07765123938563406,0.01825562469594555,235,225,215,2,0.5365040902174047
2724,0.04343450210630471,0.06742356402940046,0.026170463526563926,20,19,15,5,1.1671733264182185
2725,-0.01766638406260071,0.03934348942879815,-0.005517219430487399,119,119,105,3,0.27380071700879577
2726,0.033504390454751204,0.10444553635600096,0.010191529098736107,138,135,127,2,0.15938549171550795
